from_party,to_party
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,Ecolo
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,Défi
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PTB
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PTB
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PTB
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,Défi
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,Défi
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,Défi
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PTB
PS,Ecolo
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PTB
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PTB
PS,Ecolo
PS,PS
PS,Défi
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,Ecolo
PS,Ecolo
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PTB
PS,PTB
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,Défi
PS,Défi
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PTB
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,Défi
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,Ecolo
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PTB
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,Ecolo
PS,Ecolo
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,Ecolo
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PTB
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PTB
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,Ecolo
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PTB
PS,Ecolo
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,Ecolo
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Ecolo
PS,PS
PS,PTB
PS,PTB
PS,PS
PS,PS
PS,PS
PS,PTB
PS,Ecolo
PS,Défi
PS,PTB
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,PS
PS,Défi
PS,PS
PS,PS
PS,PS
PS,PS
